회사명,국가코드,업종,담당자,이메일,전화,웹사이트,상태,메모,등록일
PT Chempower Indonesia,ID,Water Treatment Chemical Distributor,,info@chempower.co.id,,https://chempower.co.id/,lead,"미국/일본/유럽 기술 대리 수입사 - 이메일 홈페이지 재확인 필요",
PT Lamurindo,ID,Water Treatment Chemical Distributor,,info@lamurindo.com,,https://www.lamurindo.com/,lead,"수처리/발전/광산 대형 고객 보유 - 이메일 재확인",
PT Artha Inti Manunggal,ID,Specialty Water Treatment Chemical,,info@artha-inti.com,,https://www.artha-inti.com/,lead,"식음료/제약 수처리 프로젝트 다수 - 이메일 재확인",
PT Kastraco Engineering,ID,Water Treatment Specialty Chemical,,info@kastraco.com,,http://kastraco.com/,lead,"인니 전역 커버 엔지니어링사 - 이메일 재확인",
PT Narda Tita,ID,Fine Chemical Importer Distributor,,info@nardatita.com,,https://www.nardatita.com/,lead,"파인케미컬 수입/유통 선두 - 소포제 신규제안 적합",
PT Multi Kimia Solusindo,ID,Chemical Distributor,,info@mks-chem.co.id,,https://www.mks-chem.co.id/,lead,"광산/수처리/농업 화학 유통 - 이메일 재확인",
Michem Vietnam,VN,Industrial Chemical Importer Distributor,,info@michem.vn,,https://ads.michem.vn/en/,lead,"독일/한국 등 수입 독점유통 - 수처리 응집/pH제 취급",
Chemtradeasia Vietnam,VN,Specialty Chemical Distributor,,sales@chemtradeasia.vn,,https://www.chemtradeasia.vn/,lead,"커머디티+스페셜티 종합 유통 - 섬유/수처리",
Nagase Vietnam,VN,Functional Materials Distributor,,info@nagase.com,,https://www.nagase.com/,lead,"일본계 대형 상사 - 수처리/코팅 - 담당부서 확인",
Azelis Vietnam,VN,Specialty Chemical Distributor,,info@azelis.com,,https://www.azelis.com/en/asia-pacific/vietnam,lead,"글로벌 스페셜티 유통사 - 환경솔루션 부문",
Vizag Chemical,IN,Defoamer Distributor Exporter,,vizagchemical@gmail.com,,https://www.vizagchemical.com/,lead,"인도 다지역 유통 - 경쟁 겸 유통 가능성 확인 필요",
